arm_id,arm_code,architecture,class,f1_median,f1_q1,f1_q3,precision_median,recall_median
distributed-ig-rvnd-iwss,IG-RVND-IWSS,distributed,random_replay,0.944830382913,0.94283244417025,0.9498423906710001,0.9622885199075,0.929
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,grayhole,0.716564225223,0.69839435073875,0.71786831797775,0.720002598461,0.7153750000000001
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,high_StNum,0.999624859322,0.99959361323375,0.999624859322,1.0,0.99925
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,injection,0.9969962295954999,0.99637023555075,0.99868583376975,0.998245613925,0.99575
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,inverse_replay,0.9972504358875001,0.99709364431,0.9974984354665,0.997372372372,0.997
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,masquerade_fake_fault,0.998749999922,0.9984695659665,0.999437453116,0.9987501246875,0.999
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,masquerade_fake_normal,0.9968118670499999,0.9958104284615,0.99759261273775,0.9972451738815,0.9964999999999999
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,normal,0.838912327166,0.83606551712525,0.84140752931825,0.8263553341305,0.8460624999999999
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,poisoned_high_rate,0.999125764956,0.9990945110765,0.999625046869,0.99825305715,0.9998750000000001
distributed-ig-rvnd-iwssr,IG-RVND-IWSSR,distributed,random_replay,0.939430310954,0.9357062855914999,0.9443368057599999,0.9547357882425,0.927
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,grayhole,0.550927260226,0.39451962103050003,0.6013583505725,0.5805559247984999,0.542875
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,high_StNum,0.992558783719,0.9569631597,0.998623106772,0.994811989455,0.992
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,injection,0.992598004813,0.976678847852,0.9961468163345,0.9951159978024999,0.9922500000000001
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,inverse_replay,0.9653393289459999,0.953248248333,0.989392509295,0.9628188098285,0.970375
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,masquerade_fake_fault,0.945714690504,0.93130164563775,0.9774598009722499,0.929510010744,0.9625
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,masquerade_fake_normal,0.9902760241974999,0.9760887707685,0.99173815744475,0.992344644294,0.9864999999999999
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,normal,0.764784791836,0.7487797292889999,0.78366247922475,0.7093170358835,0.8261875000000001
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,poisoned_high_rate,0.9809879764755001,0.9724863204085,0.9972163925272499,0.991517670465,0.973875
distributed-ig-vnd-bitflip,IG-VND-BF,distributed,random_replay,0.8316695452955001,0.78382285955125,0.85708505403325,0.902947790829,0.770875
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,grayhole,0.71626576292,0.7150342387085,0.7188578372757499,0.7252111660275,0.709
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,high_StNum,0.999624859322,0.999624859322,0.999624859322,1.0,0.99925
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,injection,0.9965571244055,0.9963989265015,0.99693364344975,0.9982434123555,0.995
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,inverse_replay,0.996999249625,0.99675060922275,0.99715526918525,0.996999249625,0.996875
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,masquerade_fake_fault,0.998625999188,0.998344729884,0.9991879684715,0.99787824451,0.999375
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,masquerade_fake_normal,0.9964973710565,0.996248827715,0.9969971844025001,0.9974949893514999,0.996
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,normal,0.843057357645,0.83907402119825,0.84454609037175,0.8300761053215,0.8531875
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,poisoned_high_rate,0.999125764956,0.99900093661025,0.999125764956,0.99825305715,1.0
distributed-ig-vnd-iwss,IG-VND-IWSS,distributed,random_replay,0.946988105405,0.944942349686,0.9495603342295,0.9622885199075,0.93275
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,grayhole,0.7202756310159999,0.71723924566175,0.7209710438954999,0.7237297347789999,0.716
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,high_StNum,0.999624859322,0.999624859322,0.999624859322,1.0,0.99925
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,injection,0.99617961653,0.9954589433284999,0.9965246161535,0.998242751322,0.9941249999999999
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,inverse_replay,0.9972483724925001,0.99675053860575,0.9974060038754999,0.9971264053835001,0.99725
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,masquerade_fake_fault,0.997751108793,0.996784959627,0.9979391860975,0.9971286508915,0.9982500000000001
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,masquerade_fake_normal,0.9945482876564999,0.993489711657,0.9964348261195,0.996608101873,0.993125
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,normal,0.8378365111595001,0.83258529285075,0.84185140498775,0.8253270312645,0.8506875
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,poisoned_high_rate,0.999125764956,0.998907385535,0.999125764956,0.99825305715,1.0
distributed-ig-vnd-iwssr,IG-VND-IWSSR,distributed,random_replay,0.9460123329035,0.9274093735215,0.954185855822,0.9613212536244999,0.930875
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,grayhole,0.7062024084609999,0.70325727999075,0.71352259415075,0.7480619175459999,0.663375
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,high_StNum,0.999624859322,0.99959361323375,0.999749937484,1.0,0.99925
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,injection,0.9984358498154999,0.99671305645,0.998623451383,0.999749436232,0.997375
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,inverse_replay,0.99699774662,0.99642970167325,0.997531644405,0.997749437359,0.9962500000000001
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,masquerade_fake_fault,0.9987510926185,0.9982512646180001,0.999032135884,0.997755113215,0.99925
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,masquerade_fake_normal,0.9953057152715,0.99484225870125,0.9959605182797501,0.996741190909,0.9942500000000001
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,normal,0.8445191921990001,0.84361125586325,0.8477290870955,0.8181103916035,0.8769375
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,poisoned_high_rate,0.9996875546765001,0.99912549190025,0.999875015623,0.999500187422,1.0
distributed-relieff-rvnd-bitflip,RF-RVND-BF,distributed,random_replay,0.9527039967585,0.94344643256825,0.95601745724725,0.970720431723,0.9365
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,grayhole,0.7087785148785,0.6957348351585,0.71735296677075,0.7427774001995,0.671875
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,high_StNum,0.999624859322,0.99959361323375,0.9996561288625,1.0,0.99925
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,injection,0.9982475273255,0.9970278746207499,0.998748435544,0.9994990920985001,0.996875
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,inverse_replay,0.997060865992,0.99659238567475,0.9973099663335,0.997997746682,0.9964999999999999
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,masquerade_fake_fault,0.9987509367975,0.9983451433530001,0.999125218654,0.9980029955065,0.99925
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,masquerade_fake_normal,0.9963714339395,0.9956225372155,0.9973123898702501,0.9971202275365001,0.9955
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,normal,0.8465656964620001,0.84274488074375,0.84836182740325,0.820304530071,0.8690625000000001
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,poisoned_high_rate,0.9996876015280001,0.99950022639075,0.9997813007687499,0.999500187422,1.0
distributed-relieff-rvnd-iwss,RF-RVND-IWSS,distributed,random_replay,0.948623291521,0.945213073785,0.956507443924,0.9641164338795,0.933625
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,grayhole,0.7061848165885001,0.7023772205025001,0.71560311824525,0.7445893455435,0.6677500000000001
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,high_StNum,0.999624859322,0.999624859322,0.99978119920625,1.0,0.99925
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,injection,0.9984358497665,0.995769788919,0.9985294548354999,0.999749373434,0.99725
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,inverse_replay,0.997058876965,0.99674715360725,0.99740369545225,0.9977485925535,0.996
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,masquerade_fake_fault,0.9987504685744999,0.99843771864075,0.99900049975,0.998375655758,0.999125
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,masquerade_fake_normal,0.9962483971339999,0.9949321500552499,0.99727809392675,0.996870300752,0.995125
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,normal,0.8451886406169999,0.8428260573335,0.84795299540175,0.8171675596005,0.8731875
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,poisoned_high_rate,0.999750062484,0.999375390381,0.999750062484,0.999500249875,1.0
distributed-relieff-rvnd-iwssr,RF-RVND-IWSSR,distributed,random_replay,0.9515066801975,0.94527502489725,0.95518041609475,0.9712080148705,0.9319999999999999
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,grayhole,0.6961063535209999,0.51035500427475,0.705579979873,0.687355933592,0.653625
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,high_StNum,0.990143170853,0.9656176640699999,0.99824688502125,0.995456890281,0.990375
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,injection,0.9883862969835,0.97509443932225,0.9902294724965,0.986930904057,0.989375
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,inverse_replay,0.9776884722225,0.96830226156825,0.9866849629045,0.976358682513,0.9775
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,masquerade_fake_fault,0.9633830231330001,0.9343235926447501,0.9759840454915,0.9428113952465,0.98075
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,masquerade_fake_normal,0.9903995921694999,0.9849443483,0.9911505193104999,0.9929764036365,0.9862500000000001
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,normal,0.7839317314700001,0.765645547365,0.81084263985275,0.7245947114344999,0.8370625
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,poisoned_high_rate,0.989886127944,0.9816403587287501,0.99593899789325,0.9958145554960001,0.98575
distributed-relieff-vnd-bitflip,RF-VND-BF,distributed,random_replay,0.8209714201205001,0.7641924588272501,0.86959628656,0.8881140025445,0.76925
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,grayhole,0.7123205793734999,0.70179219175925,0.7157348143835,0.716925946057,0.7133750000000001
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,high_StNum,0.999624859322,0.9985007493445,0.99968739058475,1.0,0.99925
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,injection,0.9969330794585001,0.9968391218942501,0.99824732397025,0.998495109105,0.99575
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,inverse_replay,0.997123905789,0.9969648813435,0.997500624844,0.997374122701,0.99675
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,masquerade_fake_fault,0.999125327947,0.99865694100675,0.9992811679115,0.9987510612985,0.99925
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,masquerade_fake_normal,0.996998279099,0.99624375518925,0.99752976863675,0.9981233107165,0.996375
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,normal,0.8412963062809999,0.8394903849124999,0.84316781092225,0.8281770446575,0.8498125
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,poisoned_high_rate,0.999375078115,0.999125764956,0.999375390381,0.998751560549,0.9998750000000001
distributed-relieff-vnd-iwss,RF-VND-IWSS,distributed,random_replay,0.9460424717615,0.94522087755975,0.95194102733375,0.964820424764,0.928625
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,grayhole,0.717902044998,0.7126604089727501,0.72023545016375,0.7269726399634999,0.714
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,high_StNum,0.999624859322,0.999624859322,0.999749937484,1.0,0.99925
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,injection,0.996745524638,0.99633817378325,0.9970274443382501,0.9983701727975001,0.99575
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,inverse_replay,0.9971242810700001,0.99662605336925,0.9972809802475,0.9972475912550001,0.997
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,masquerade_fake_fault,0.9988133353449999,0.99846918346625,0.9991879684715,0.9983763736110001,0.9995
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,masquerade_fake_normal,0.996495805518,0.9956224507342499,0.9973092930227501,0.9974983733735,0.995375
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,normal,0.8450906320475,0.841477084626,0.84610752982425,0.830510789107,0.8525625
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,poisoned_high_rate,0.999125764956,0.999125764956,0.99928176915375,0.99837765189,1.0
distributed-relieff-vnd-iwssr,RF-VND-IWSSR,distributed,random_replay,0.956480308228,0.953379363966,0.9601075091825,0.972086049878,0.942375
distributed-su-rvnd-bitflip,SU-RVND-BF,distributed,grayhole,0.6951591938915,0.6940187036212501,0.7063747464885,0.751637454445,0.6448750000000001
